ID,company_name,city,state,size,website,industry,revenue,founded,company_type,logo_url
3188,enVista,Carmel,IN,"501-1,000 employees",https://www.envistacorp.com/,"Transportation, Logistics, Supply Chain and Storage",Unknown,2007,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGephCh1OIyDg/company-logo_200_200/0/1625859795954?e=1677715200&v=beta&t=HOOUliYNoKhEC7pMsM5_-MyeqRagY_WjxXyEK2UuoP8
3189,Envigo ++++,Indianapolis,IN,"1,001-5,000 employees",https://www.envigo.com/,Research Services,Unknown,2015,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHAfa5mOANP6g/company-logo_200_200/0/1636143363455?e=1677715200&v=beta&t=NNB8fjnkCZIExKyy1fpK8QdH1pSXn8xEe86ebux6kRs
3190,Envision,St. Louis,MO,201-500 employees,http://www.envision.com/,Staffing and Recruiting,Unknown,2004,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGKOjZGH_1LlQ/company-logo_200_200/0/1606150606366?e=1677715200&v=beta&t=gzzFnGIiKmscWofjSW0xnV-0uWOU51G7bd8mw9UqlhY
3191,Epic,Verona,WI,"10,001+ employees",https://www.epic.com/,Software Development,Unknown,1979,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQH6HS4jtIcQ4w/company-logo_200_200/0/1519910684635?e=1677715200&v=beta&t=OUuk2PBtyHvktMwrIV0rThqgUz1qIzUU5w2gk-VrePI
3192,Equitable,New York,NY,"5,001-10,000 employees",http://www.equitable.com/,Financial Services,Unknown,1859,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQF85VlM9VJ55A/company-logo_200_200/0/1660662192912?e=1677715200&v=beta&t=q9ePwKaYCrlsQdxSoZmCIlh5nI3j7EVpujVku7GeGC0
3193,Exponent,Menlo Park,CA,"501-1,000 employees",http://www.exponent.com/,Business Consulting and Services,Unknown,1967,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEWrbyh7WFSAA/company-logo_200_200/0/1538687654328?e=1677715200&v=beta&t=0Oz3vOdp7Z-A0NOOMZG8ZZPDl89NhOBhkHRg8LOnKzc
3194,Expedia Group,Seattle,WA,"10,001+ employees",https://careers.expediagroup.com/,"Technology, Information and Internet",Unknown,1996,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGCJ4PG0WVumA/company-logo_200_200/0/1593618041184?e=1677715200&v=beta&t=dozjrhxTe8f3Ivghk3mVW7Db9qyqL0Y5EkdOAZPjj74
3195,EXPRESS,Columbus,OH,"10,001+ employees",http://www.express.com/,Retail,Unknown,1980,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEt83ld_yUEYw/company-logo_200_200/0/1537451167497?e=1677715200&v=beta&t=NTWaMp6QIQM80e0fonUv0slO0s_PKxjbRFy1swl1sx8
3196,Expedition Technology Inc,Herndon,VA,51-200 employees,http://www.exptechinc.com/,Defense and Space Manufacturing,Unknown,2013,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHqzV06EzQsvg/company-logo_200_200/0/1519909711653?e=1677715200&v=beta&t=T__F2gsBvUKEWSKD7pl5nZIhn1Ot7Bb1_qhyJFVCLoI
3197,East West Bank,Pasadena,CA,"1,001-5,000 employees",http://www.eastwestbank.com/,Banking,Unknown,1973,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQH1rj6IgE9jjA/company-logo_200_200/0/1572029866228?e=1677715200&v=beta&t=WlmOPTF5F82STWVJSFKejuPZV0_Rvtv__hFxXumapzM
