ID,name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url
46,San Antonio Winery,"https://www.glassdoor.com/Overview/Working-at-San-Antonio-Winery-EI_IE259818.11,29.htm","Lincoln Heights, CA",51 to 200 Employees,1959,Company - Private,Food & Beverage Manufacturing,,$5 to $25 million (USD),http://www.sanantoniowinery.com/
47,"TransExec Air Service, Inc","https://www.glassdoor.com/Overview/Working-at-Trans-Exec-Air-Service-EI_IE2141289.11,33.htm","Van Nuys, CA",1 to 50 Employees,,Company - Private,"Airlines, Airports & Air Transportation",,Unknown / Non-Applicable,http://www.transexec.com/
48,Los Angeles Unified School District,"https://www.glassdoor.com/Overview/Working-at-Los-Angeles-USD-EI_IE111599.11,26.htm","Los Angeles, CA",Unknown,1961,Company - Public,Primary & Secondary Schools,"We are LAUSD. We are at the forefront of innovation in public schools, with the serious work of tailoring the learning environment to better serve our community. Here, you will have the opportunity to exercise your potential in the business of education. We are technical professionals, skilled workers, support staff, executives, and community champions. We do our jobs with a sense of integrity, accountability, and pride in shaping the future. Our contributions here impact our number one customers - the 600,000 plus K-12 students of LAUSD. With over 1,000 job titles to choose from, build your rewarding career here by joining nearly 30,000 employees, and achieve new levels of success in your career!",Unknown / Non-Applicable,http://lausd.net/
49,JC Sales,"https://www.glassdoor.com/Overview/Working-at-JC-Sales-EI_IE599407.11,19.htm","Los Angeles, CA",201 to 500 Employees,,Company - Public,"Department, Clothing & Shoe Stores",,Unknown / Non-Applicable,http://www.jcsaleswholesale.com/
50,"Sensor Systems, Inc","https://www.glassdoor.com/Overview/Working-at-Sensor-Systems-EI_IE1409512.11,25.htm","Chatsworth, CA",201 to 500 Employees,,Company - Private,Aerospace & Defense,,$25 to $100 million (USD),http://www.sensorantennas.com/
51,LAZ Parking,"https://www.glassdoor.com/Overview/Working-at-LAZ-parking-EI_IE253904.11,22.htm","Hartford, CT",10000+ Employees,1981,Company - Private,Parking & Valet,"It all started with three friends…

Childhood friends Alan Lazowski, Jeff Karp and Michael Harth grew up in a small town outside of Hartford, CT. Fast forward to 1981 and, in his senior year of college, Michael decided to start a valet parking business in San Diego, CA. He shared the idea with his two best friends who started their own valet businesses in Hartford and Boston.

By 2007, the three friends had formally merged their companies to form what is today's LAZ Parking. With the financial backing of Indigo, one of the world's largest parking firms, LAZ tripled in size in just over four years.

Today LAZ operates over a million parking spaces in thousands of locations across the country, including many of the original locations we started back in 1981.

[ Why LAZ? Find the answer at http://jobs.jobvite.com/lazparking. ]",$500 million to $1 billion (USD),http://www.lazparking.com/
52,DOG RESORT,,,,,,,,,
53,Belly’s Sliders and Wings,,,,,,,,,
54,"A Better Tomorrow Services, Inc.",,,,,,,,,
55,"Song Charlene, MD",,,,,,,,,
56,Shaker - Illinois - UHS - Del Amo Hospital,"https://www.glassdoor.com/Overview/Working-at-Del-Amo-Hospital-EI_IE121632.11,27.htm","Torrance, CA",201 to 500 Employees,,Hospital,Health Care Services & Hospitals,,$25 to $100 million (USD),http://www.delamotreatment.com/
57,Pactrack,"https://www.glassdoor.com/Overview/Working-at-PacTrack-EI_IE3125897.11,19.htm","Los Angeles, CA",1 to 50 Employees,,Unknown,,"The world has been and continues to be changing. Five years ago we were satisfied with driving to retail stores, shopping, and driving home. Legal papers were printed by the stacks and transported by vehicle to the courts. It’s different now.",Unknown / Non-Applicable,http://www.pactrack.com/
58,Newmed Health Center,"https://www.glassdoor.com/Overview/Working-at-Newmed-Health-Center-EI_IE3229436.11,31.htm","Rosemead, CA",1 to 50 Employees,,Unknown,,,Unknown / Non-Applicable,http://www.newmedhealth.com/
59,Quill & Arrow LLP,"https://www.glassdoor.com/Overview/Working-at-Quill-and-Arrow-EI_IE3519137.11,26.htm","Los Angeles, CA",51 to 200 Employees,2020,Private Practice / Firm,Law Firms,"In just a little over 2 years since inception, Quill & Arrow LLP has established itself as one of the most prominent, rapidly-expanding personal injury and lemon law firms in Southern California. From a staff of just two employees to a family of over 65 employees and 10 associate attorneys, our team is the pivotal reason for our firm's success. The happiness of our employees is our pride, and the satisfaction of bringing clients bountiful settlements is our drive. Proud to foster a stimulating, rewarding and proactive environment which encourages employees to bring their all each and every day.",Unknown / Non-Applicable,http://quillarrowlaw.com/
60,Serenity Healthcare Partners,,,,,,,,,
61,UNIFY Talent Acquisition,"https://www.glassdoor.com/Overview/Working-at-UNIFY-Financial-Credit-Union-EI_IE1339614.11,39.htm","Allen, TX",501 to 1000 Employees,1948,Company - Private,Banking & Lending,"Founded in 1948, we’re proud to say UNIFY Financial Credit Union (UNIFY) is one of the nation’s leading credit unions with more than $3 billion in assets, over 250,000 members, and hundreds of employer partners across the country. With one of the best teams in the industry, we ... Read more",$100 to $500 million (USD),http://www.unifyfcu.com/
62,Rooter Hero Plumbing,"https://www.glassdoor.com/Overview/Working-at-Rooter-Hero-Plumbing-EI_IE1395123.11,31.htm","Mission Hills, CA",201 to 500 Employees,,Company - Private,General Repair & Maintenance,"At Rooter Hero Plumbing, we pride ourselves on providing Competitive Pricing, Quality Work and Professional Service on every plumbing appointment. When you choose us, you will be rewarded with high quality workmanship and exceptional service facilitated by cutting-edge plumbing technology. Our plumbers are certified, licensed, insured, and use state-of-the-art technology to diagnose and repair bathroom plumbing problems, kitchen plumbing problems, and water pressure plumbing problems.

These services will ultimately benefit the ones you love by keeping you and your family comfortable and safe in your house all year round. Our specialty is drain cleaning using video camera pipe inspection and hydro-jetting. We also offer a full range of other plumbing services including water heater repair and installation and trenchless replacements. From pipe repair to sewer cleaning to sewer pipe lining and pipe bursting, we do it all! We can even recommend ways to reduce your water and energy bills.",Unknown / Non-Applicable,http://www.rooterhero.com/
63,UnitedHealthcare,"https://www.glassdoor.com/Overview/Working-at-UnitedHealth-Group-EI_IE1991.11,29.htm","Minnetonka, MN",10000+ Employees,1977,Company - Public (UNH),Health Care Services & Hospitals,"UnitedHealth Group is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone.

We are 340,000 colleagues in two distinct and complementary businesses working to help build a modern, high-performing health system through improved access, affordability, outcomes and experiences.

Optum delivers care aided by technology and data, empowering people, partners and providers with the guidance and tools they need to achieve better health. UnitedHealthcare offers a full range of health benefits, enabling affordable coverage, simplifying the health care experience and delivering access to high-quality care.

We work with governments, employers, partners and providers to care for 146 million people and share a vision of a value-based system of care that provides compassionate and equitable care.

At UnitedHealth Group, our mission calls us, our values guide us and our diverse culture connects us as we seek to improve care for the consumers we are privileged to serve and their communities.

Diversity creates a healthier atmosphere: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.",$10+ billion (USD),http://www.unitedhealthgroup.com/
64,"Dependable Highway Express, Inc.",,,,,,,,,
65,"Trnds Trade, Co",,,,,,,,,
66,MotionLit Inc.,,,,,,,,,
67,Bluecrew,"https://www.glassdoor.com/Overview/Working-at-Bluecrew-EI_IE1124246.11,19.htm","San Francisco, CA",51 to 200 Employees,2014,Self-employed,HR Consulting,"Bluecrew is bringing together top employers nationwide with our on-demand workforce. We make securing work easier for tens of thousands of workers through our cutting edge mobile app. Our technology instantly connects employers with the best pre-qualified candidates, filling openings within hours. Bluecrew goes beyond other staffing platforms, we handle every aspect from background checks to benefits and payroll. We specialize in placing hourly wage workers for nationally recognized brands in over 20 cities. We are changing work for the better.",Unknown / Non-Applicable,http://www.bluecrewjobs.com/
68,DEN Urban Dog Retreat,,,,,,,,,
69,InSite Property Group,"https://www.glassdoor.com/Overview/Working-at-SecureSpace-Self-Storage-EI_IE4797126.11,35.htm","Redondo Beach, CA",1 to 50 Employees,,Company - Public,,,Unknown / Non-Applicable,http://www.securespace.com/
70,Mammoth Distribution,"https://www.glassdoor.com/Overview/Working-at-Mammoth-Distribution-EI_IE2426659.11,31.htm","North Hollywood, CA",201 to 500 Employees,,Company - Private,Consumer Product Manufacturing,,Unknown / Non-Applicable,http://www.mammoth.org/
71,Food Safety Net Services,"https://www.glassdoor.com/Overview/Working-at-Food-Safety-Net-Services-EI_IE295950.11,35.htm","San Antonio, TX",501 to 1000 Employees,1994,Company - Private,Biotech & Pharmaceuticals,"Food Safety Net Services (FSNS) is a network of ISO/IEC 17025:2005 accredited laboratories that provide a wide range of microbiological testing and chemical analysis. Testing includes but is not limited to non routine and routine quantitative and qualitative analysis following standardized and validated methods such as AOAC, USDA, AOCS, FDA, ASTA as well as others. In addition to our comprehensive scope of laboratory testing, FSNS also provides a full menu of auditing services that synergistically improve the effectiveness of food safety and quality programs.

Services Include:
Laboratory Services Including Microbiological Analysis & Chemistry Testing
Nutritional Labeling (NLEA)
Education
Special Projects Including Validation and Challenge Studies.
Crisis Management
Research",$25 to $100 million (USD),http://www.fsns.com/
72,Miyako Hybrid Hotel Torrance,"https://www.glassdoor.com/Overview/Working-at-Miyako-Hybrid-Hotel-EI_IE1367565.11,30.htm","Torrance, CA",Unknown,,Company - Private,Hotels & Resorts,,Unknown / Non-Applicable,http://www.miyakohybridhotel.com/
